questions,answers
 what kind of activities in wadi rum,"Wadi Rum is home to the Zalabia Bedouin who, working with climbers and trekkers, have made a success of developing eco-adventure tourism as their main source of income. The area is one of Jordan's important tourist destinations, and attracts an increasing number of foreign tourists, particularly trekkers and climbers, but also for camel and horse safari or simply day-trippers from Aqaba or Petra. Its luxury camping retreats have also spurred more tourism to the area.Popular activities in the desert environment include camping under the stars, riding Arabian horses, hiking and rock-climbing among the massive rock formations. All Terrain Vehicles (ATVs) and Jeeps are also available and new camps have opened that offer accommodation for tourists."
how's the prices in jordan?,"prices almost moderate, but there are places in jordan that make you pay through the nose"
how's the people in jordan?," you may see them as grim,but don't be afaid people here are very kind, if you get on trouble ask them for help they will help you "
"what's about ancient buildings, like castels?","there is alot of ancient buildings casteles in jordan, there is ajloun castle, qasr al-hallabat,qasr azraq and more"
tell me about castles,"qasr al hallabat:The complex of Qasr al-Hallabat is located in Jordan's eastern desert. Originally a Roman fortress constructed under Emperor Caracalla to protect its inhabitants from Bedouin tribes, this site dates to the second and third century AD, although there is trace evidence of Nabatean presence at the site. It was one fort of many on the Roman highway, Via Nova Traiana, a route that connected Damascus to Aila (modern-day Aqaba) by way of Petra and Philadelphia (modern-day Amman). However, by the eighth century, the Umayyad caliph Hisham ibn Abd al-Malik ordered the Roman structures to be demolished in order to redevelop this military site and its neighboring territory to become one of the grandest of all Umayyad desert complexes. qasr azraq: is a large fortress located in present-day eastern Jordan. It is one of the desert castles, located on the outskirts of present-day Azraq, roughly 100 km (62 mi) east of Amman. Its strategic value came from the nearby oasis, the only water source in a vast desert region. The name of the fortress and associated town came from these. The settlement was known in antiquity as Basie and the Romans were the first to make military use of the site, and later an early mosque was built in the middle. It did not assume its present form until an extensive renovation and expansion by the Ayyubids in the 13th century, using locally quarried basalt which makes the castle darker than most other buildings in the area."
is there a famous streets in jordan?,"yes, there is rainbow street,originally named Abu Bakr al Siddiq street, is a public space in the historic area of Jabal Amman, near the center of downtown Amman, Jordan. The street runs east from the First Circle to Mango Street, and contains several attractions from roof top restaurants to pubs. The street runs in front of the British Council building, as well as the headquarters of the Jordan Petroleum Refinery Company and the cinema after which the street is renamed. Rainbow Street is the location of numerous companies and shops, including the Center for Studies on the Built Environment and the headquarters of the Jordan River Foundation. It is also home to important sites from modern Jordanian history, including the al-Mufti House, the residence of King Talal (Teta Alice's House), and the home of former military commander and Prime Minister Zaid ibn Shaker. Souk Jara is located near the street."
how's the culture in jordan,"Many institutions in Jordan aim to increase cultural awareness of Jordanian Art and to represent Jordan's artistic movements in fields such as paintings, sculpture, graffiti and photography. The art scene has been developing in the past few years and Jordan has been a haven for artists from surrounding countries. In January 2016, for the first time ever, a Jordanian film called Theeb was nominated for the Academy Awards for Best Foreign Language Film"
what's about irbid," irbid is the capital and largest city of the Irbid Governorate. It also has the second largest metropolitan population in Jordan after Amman, with a population of around 1,911,600. Irbid is located about 70 kilometres (43 mi) north of Amman on the northern ridge of the Gilead, equidistant from Pella, Beit Ras (Capitolias), and Um Qais, and approximately 20 kilometres (12 mi) south of the Syrian border. Irbid was built on successive Early Bronze Age settlements and was possibly the biblical Beth Arbel and the Arbila of the Decapolis, a Hellenistic league of the 1st century BCE through the 2nd century CE. The population of Irbid swelled in the late 19th century, and prior to 1948 it served as a significant centre of transit trade."
what's about madaba,"madaba is the capital city of Madaba Governorate in central Jordan, with a population of about 60,000. It is best known for its Byzantine and Umayyad mosaics, especially a large Byzantine-era mosaic map of the Holy Land. Madaba is located 30 kilometres (19 miles) south-west of the capital Amman. there is alot of sites in madaba like Hammamat Ma'in"
what's about Hammamat ma'in?,"Since the days of Rome, people have come to the thermal mineral springs of Hammamat Ma'in or Zarqa Ma'in for thermal treatments and use the baths. Southwest of Madaba is Hammamat Ma’in, the thermal mineral springs that for centuries have attracted people to come and immerse themselves in the sites’ warm therapeutic waters."
tell me about karak,"known in the Kingdom of Jerusalem as Kerak, is a city in Jordan known for its Crusader castle, the Kerak Castle. The castle is one of the three largest castles in the region, the other two being in Syria. Al-Karak is the capital city of the Karak Governorate. Al-Karak lies 140 kilometres (87 mi) to the south of Amman on the ancient King's Highway. It is situated on a hilltop about 1,000 metres (3,300 ft) above sea level and is surrounded on three sides by a valley. Al-Karak has a view of the Dead Sea. A city of about 32,216 people has been built up around the castle and it has buildings from the 19th-century Ottoman period. The town is built on a triangular plateau, with the castle at its narrow southern tip."
tell me about dead sea," is a salt lake bordered by Jordan to the east and Israel and the West Bank to the west. It lies in the Jordan Rift Valley, and its main tributary is the Jordan River. Its surface and shores are 430.5 metres (1,412 ft) below sea level, Earth's lowest elevation on land. It is 304 m (997 ft) deep, the deepest hypersaline lake in the world. With a salinity of 342 g/kg, or 34.2% (in 2011), it is one of the world's saltiest bodies of water – 9.6 times as salty as the ocean – and has a density of 1.24 kg/litre, which makes swimming similar to floating. This salinity makes for a harsh environment in which plants and animals cannot flourish, hence its name. The Dead Sea's main, northern basin is 50 kilometres (31 mi) long and 15 kilometres (9 mi) wide at its widest point."
thank you,you are welcome! i hope that i helped you to make your visit to jordan more excited.
is there any good meuseums in jordan?,"yes, there is jordan meuseum,s located in Ras Al-Ein district of Amman, Jordan. Built in 2014, the museum is the largest museum in Jordan and hosts the country's most important archaeological findings. The museum presents artifacts from various prehistoric archaeological sites in Jordan, including the 7500 BC 'Ain Ghazal statues which are regarded as one of the oldest human statues ever made by human civilization.The collections in the museum are arranged in chronological order and also features lecture halls, outdoor exhibitions, a library, a conservation centre and an area for children's activities. The museum was established by a committee headed by Queen Rania, which became the only museum in Jordan to implement modern artifact preserving technologies."
 is there inexpensive places to go to?,"there is Ras al Ein, here you can buy anything you want, clothes, accessories,pets, and more, also you can go to souq al juma'a too, it's a souq that opens only on friday."
places to hang out," you can go to the abdali boulevard, amazing place to to hang out in cafe's and you can take pictures for insagram, it's really beautiful places. also, there is malls like mecca mall and taj mall where you can go to shopping and watching movies in cinemas"
where can i see a view of amman?," the best place is jabal al qal'a, you can see an amazing view for amman from it."
climate in jordan,"The climate in Jordan varies greatly. Generally, the further inland from the Mediterranean, greater contrasts in temperature occur and the less rainfall there is. The country's average elevation is 812 m (2,664 ft) (SL). The highlands above the Jordan Valley, mountains of the Dead Sea and Wadi Araba and as far south as Ras Al-Naqab are dominated by a Mediterranean climate, while the eastern and northeastern areas of the country are arid desert. Although the desert parts of the kingdom reach high temperatures, the heat is usually moderated by low humidity and a daytime breeze, while the nights are cool. Summers, lasting from May to September, are hot and dry, with temperatures averaging around 32 °C (90 °F) and sometimes exceeding 40 °C (104 °F) between July and August. The winter, lasting from November to March, is relatively cool, with temperatures averaging around 13 °C (55 °F). Winter also sees frequent showers and occasional snowfall in some western elevated areas."
what about transportation?,"According to data from the Jordanian Ministry of Public Works and Housing, as of 2011, the Jordanian road network consisted of 2,878 km (1,788 mi) of main roads; 2,592 km (1,611 mi) of rural roads and 1,733 km (1,077 mi) of side roads. The Hejaz Railway built during the Ottoman Empire which extended from Damascus to Mecca will act as a base for future railway expansion plans. Currently, the railway has little civilian activity; it is primarily used for transporting goods. A national railway project is currently undergoing studies and seeking funding sources.Jordan has three commercial airports, all receiving and dispatching international flights. Two are in Amman and the third is in Aqaba, King Hussein International Airport. Amman Civil Airport serves several regional routes and charter flights while Queen Alia International Airport is the major international airport in Jordan and is the hub for Royal Jordanian Airlines, the flag carrier. Queen Alia International Airport expansion was completed in 2013 with new terminals costing $700 million, to handle over 16 million passengers annually"
tell me about amman?," amman is the capital and most populous city of Jordan, and the country's economic, political and cultural centre. Situated in north-central Jordan, Amman is the fifth-largest city in the Arab world with a population of 4,007,526. It is considered to be among the most modernized Arab cities and a major tourist destination. Approximately two million visitors arrived in Amman in 2014, which made it the 93rd most visited city in the world and the 5th most visited Arab city."
help," after you type a greeting word this chatbot will start to answer your questions about jordan in general or about some cities (not all cities of jordan mentioned in the data set) and you need to type 'about' then the name of the place that you want to know about ,or climate, places to hang out, activities in these places but you need to type the word activities then the place name to know about the activities, and people etc, if the question's answer is not in the data set the chatbot will answer( i don't understand!, ask again or type help ), you can ask other questions about the chatbot itself like age, what's your name, and what do you do, there is some key words that will appear after you start the conversation use to guide you in the conversation, to end the coversation just type one of these words: goodbye, see you later,bye "
cities,"amman, jerash, irbid, , aqaba, karak, madaba"
touristic places,"downtown, Hammamat ma'in, petra, wadi rum, petra, um qais, dead sea "
nature places,"wadi al mujib, dhana reserve, afra, al azraq reserve"
about wadi al mujib," Wadi al-Mujib or Al-Mujib River, mentioned in the Torah as the River Arnon, is a steep valley in the Dead Sea. From the south 9 kilometers and up 11 pm. They were released on this valley for the word 'round the clock', whichever is more than 1,300 meters and standing on one side of the positive terminal sees a roundabout that descends and then ascends and sees the deep chasm that caused the earthquakes in distant times."
about dhana reserve," Dana Nature Reserve Established in 1989, Dana Nature Reserve is the largest natural reserve in Jordan in Tafilah governorate, with an area of more than 300 km2 of scenic and winding terrain facing the crater. The reserve extends over the slopes of a number of mountains from the Qadisiyah area, which rises more than 1500 meters above sea level and falls to the plains of the Wadi Araba desert. The mountains are protected by some valleys that are characterized by nature, and the geological composition varies between limestone and granite."
about afra,"Ofra baths are mineral baths located 26 days south of Jordan. The Hamra-Afra area includes a tourist services center and medical clinics for medical tourism purposes. Afra baths have distinct therapeutic properties in the treatment of infertility, atherosclerosis, anemia, rheumatism and many chronic diseases."
about al azraq reserve," The Azraq Wetland Reserve is a nature reserve located near the town of Azraq in the eastern desert of Jordan. An oasis for migratory birds, Azraq was established in 1978 and covers 12 square kilometres (4.6 sq mi). The natural springs dried up in 1992 and most migratory birds subsequently moved away from the area. Artificial springs are maintained today in order to keep the site a tourist destination."
